#
# context: https://medium.com/@nusenu/towards-cleaning-up-rpki-invalids-d69b03ab8a8c
#
# columns in that order:
#-------------------------
# source (trust anchor name)
# ASN according to ROA
# prefix according to ROA
# maxLength according to ROA (not all ROAs have that field)
# INVALID reason (length or ASN mismatch)
# announcing AS
# prefix
RIPE NCC RPKI Root,AS65001,192.168.245.0/24,18,INVALID_ASN,AS49100,5.28.224.0/21
RIPE NCC RPKI Root,AS31400,5.28.192.0/18,18,INVALID_ASN,AS49100,5.28.224.0/21
RIPE NCC RPKI Root,AS31400,5.28.192.0/18,18,INVALID_ASN,AS49100,5.28.232.0/21
RIPE NCC RPKI Root,AS31400,5.28.192.0/18,18,INVALID_ASN,AS49100,5.28.240.0/21
RIPE NCC RPKI Root,AS199976,5.102.134.0/24,24,INVALID_ASN,AS207191,5.102.134.0/24
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.0.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.4.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.8.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.12.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.16.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.20.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.24.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.28.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.32.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.36.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.44.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.52.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.56.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.60.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.64.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.68.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.72.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.76.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.84.0/22
RIPE NCC RPKI Root,AS43554,5.105.0.0/16,16,INVALID_LENGTH,AS43554,5.105.88.0/22
